dt	pCa	dhsl	mode
0.00100	9.22618	0.00000	-2.00000
0.00100	8.92948	0.00000	-2.00000
0.00100	8.75769	0.00000	-2.00000
0.00100	8.63705	0.00000	-2.00000
0.00100	8.54441	0.00000	-2.00000
0.00100	8.46950	0.00000	-2.00000
0.00100	8.40680	0.00000	-2.00000
0.00100	8.35304	0.00000	-2.00000
0.00100	8.30611	0.00000	-2.00000
0.00100	8.26456	0.00000	-2.00000
0.00100	8.22735	0.00000	-2.00000
0.00100	8.19374	0.00000	-2.00000
0.00100	8.16314	0.00000	-2.00000
0.00100	8.13511	0.00000	-2.00000
0.00100	8.10928	0.00000	-2.00000
0.00100	8.08537	0.00000	-2.00000
0.00100	8.06314	0.00000	-2.00000
0.00100	8.04241	0.00000	-2.00000
0.00100	8.02300	0.00000	-2.00000
0.00100	8.00479	0.00000	-2.00000
0.00100	7.98765	0.00000	-2.00000
0.00100	7.97148	0.00000	-2.00000
0.00100	7.95619	0.00000	-2.00000
0.00100	7.94171	0.00000	-2.00000
0.00100	7.92797	0.00000	-2.00000
0.00100	7.91491	0.00000	-2.00000
0.00100	7.90248	0.00000	-2.00000
0.00100	7.89064	0.00000	-2.00000
0.00100	7.87933	0.00000	-2.00000
0.00100	7.86852	0.00000	-2.00000
0.00100	7.85819	0.00000	-2.00000
0.00100	7.84829	0.00000	-2.00000
0.00100	7.83880	0.00000	-2.00000
0.00100	7.82970	0.00000	-2.00000
0.00100	7.82096	0.00000	-2.00000
0.00100	7.81256	0.00000	-2.00000
0.00100	7.80448	0.00000	-2.00000
0.00100	7.79670	0.00000	-2.00000
0.00100	7.78921	0.00000	-2.00000
0.00100	7.78199	0.00000	-2.00000
0.00100	7.77503	0.00000	-2.00000
0.00100	7.76831	0.00000	-2.00000
0.00100	7.76183	0.00000	-2.00000
0.00100	7.75557	0.00000	-2.00000
0.00100	7.74951	0.00000	-2.00000
0.00100	7.74366	0.00000	-2.00000
0.00100	7.73800	0.00000	-2.00000
0.00100	7.73252	0.00000	-2.00000
0.00100	7.72722	0.00000	-2.00000
0.00100	7.72208	0.00000	-2.00000
0.00100	7.71711	0.00000	-2.00000
0.00100	7.71229	0.00000	-2.00000
0.00100	7.70761	0.00000	-2.00000
0.00100	7.70307	0.00000	-2.00000
0.00100	7.69867	0.00000	-2.00000
0.00100	7.69441	0.00000	-2.00000
0.00100	7.69026	0.00000	-2.00000
0.00100	7.68624	0.00000	-2.00000
0.00100	7.68233	0.00000	-2.00000
0.00100	7.67853	0.00000	-2.00000
0.00100	7.67484	0.00000	-2.00000
0.00100	7.67125	0.00000	-2.00000
0.00100	7.66776	0.00000	-2.00000
0.00100	7.66437	0.00000	-2.00000
0.00100	7.66107	0.00000	-2.00000
0.00100	7.65786	0.00000	-2.00000
0.00100	7.65474	0.00000	-2.00000
0.00100	7.65170	0.00000	-2.00000
0.00100	7.64874	0.00000	-2.00000
0.00100	7.64586	0.00000	-2.00000
0.00100	7.64305	0.00000	-2.00000
0.00100	7.64032	0.00000	-2.00000
0.00100	7.63766	0.00000	-2.00000
0.00100	7.63506	0.00000	-2.00000
0.00100	7.63254	0.00000	-2.00000
0.00100	7.63007	0.00000	-2.00000
0.00100	7.62767	0.00000	-2.00000
0.00100	7.62533	0.00000	-2.00000
0.00100	7.62305	0.00000	-2.00000
0.00100	7.62083	0.00000	-2.00000
0.00100	7.61866	0.00000	-2.00000
0.00100	7.61654	0.00000	-2.00000
0.00100	7.61448	0.00000	-2.00000
0.00100	7.61246	0.00000	-2.00000
0.00100	7.61050	0.00000	-2.00000
0.00100	7.60858	0.00000	-2.00000
0.00100	7.60671	0.00000	-2.00000
0.00100	7.60488	0.00000	-2.00000
0.00100	7.60310	0.00000	-2.00000
0.00100	7.60136	0.00000	-2.00000
0.00100	7.59966	0.00000	-2.00000
0.00100	7.59800	0.00000	-2.00000
0.00100	7.59638	0.00000	-2.00000
0.00100	7.59479	0.00000	-2.00000
0.00100	7.59325	0.00000	-2.00000
